solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,act_tol,removal_method
1,iterative,auto,warm,1,0.0,True,33,100,0.5,0.2,fixed,1000,1000,1000,1047.0,1,,4950,5271,22.650421131000034,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,34,100,0.5,0.2,fixed,1000,1000,1000,998.0,1,,4950,5273,21.573070088000012,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,35,100,0.5,0.2,fixed,1000,1000,1000,910.0,1,,4950,5363,22.54426678499999,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,36,100,0.5,0.2,fixed,1000,1000,970,919.0,1,,4950,5414,22.255374704000136,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,37,100,0.5,0.2,fixed,1000,1000,384,829.0,1,,4950,4969,22.21590023299996,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,38,100,0.5,0.2,fixed,1000,1000,776,373.0,1,,4950,5372,21.809839384999805,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,100,100,0.0,1,,4950,101,0.01054656199994497,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,1,100,0.5,0.2,fixed,1000,1000,1000,100.0,1,,4950,1001,0.0393135029989935,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,2,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.03397278800002823,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,3,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.03250057600052969,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,4,100,0.5,0.2,fixed,1000,1000,1000,509.0,1,,4950,1492,0.052786574000492685,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,5,100,0.5,0.2,fixed,1000,1000,1000,390.0,1,,4950,2102,0.0933258669992938,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,6,100,0.5,0.2,fixed,1000,1000,1000,464.0,1,,4950,2638,0.14572445900012101,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,7,100,0.5,0.2,fixed,1000,1000,1000,755.0,1,,4950,2883,0.2038593769993895,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,8,100,0.5,0.2,fixed,1000,1000,1000,825.0,1,,4950,3058,0.2309236760011117,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,9,100,0.5,0.2,fixed,1000,1000,1000,815.0,1,,4950,3243,0.2981279380001069,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,10,100,0.5,0.2,fixed,1000,1000,1000,797.0,1,,4950,3446,0.7902221559997997,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,11,100,0.5,0.2,fixed,1000,1000,1000,846.0,1,,4950,3600,0.9651764360005473,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,12,100,0.5,0.2,fixed,1000,1000,1000,806.0,1,,4950,3794,2.579880047000188,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,13,100,0.5,0.2,fixed,1000,1000,1000,834.0,1,,4950,3960,3.575328406999688,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,14,100,0.5,0.2,fixed,1000,1000,1000,862.0,1,,4950,4098,6.3567830079991845,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,15,100,0.5,0.2,fixed,1000,1000,1000,821.0,1,,4950,4277,7.687795189000099,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,16,100,0.5,0.2,fixed,1000,1000,1000,838.0,1,,4950,4439,11.25527238700124,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,17,100,0.5,0.2,fixed,1000,1000,1000,833.0,1,,4950,4606,13.108234158000414,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,18,100,0.5,0.2,fixed,1000,1000,1000,873.0,1,,4950,4733,15.786080220999795,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,19,100,0.5,0.2,fixed,1000,1000,1000,880.0,1,,4950,4853,19.43488312100089,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,20,100,0.5,0.2,fixed,1000,1000,1000,896.0,1,,4950,4957,22.063836437000646,0.0001,dual_0_once
