solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time
10,iterative,auto,warm,1,0.0,True,0.0,23,20,0.5,0.2,fixed,1000,1000,18,9,1,,190,836,0.001956776000000105
10,iterative,auto,warm,1,0.0,True,0.0,24,20,0.5,0.2,fixed,1000,1000,18,5,1,,190,849,0.0020991700000010387
10,iterative,auto,warm,1,0.0,True,0.0,25,20,0.5,0.2,fixed,1000,1000,18,9,1,,190,858,0.0021406490000011047
10,iterative,auto,warm,1,0.0,True,0.0,26,20,0.5,0.2,fixed,1000,1000,18,14,1,,190,862,0.002202326999999116
10,iterative,auto,warm,1,0.0,True,0.1,0,20,0.5,0.2,fixed,1000,100,100,15,1,,190,101,0.0021189580000005037
10,iterative,auto,warm,1,0.0,True,0.1,1,20,0.5,0.2,fixed,1000,1000,569,53,1,,190,617,0.02570388399999857
10,iterative,auto,warm,1,0.0,True,0.1,2,20,0.5,0.2,fixed,1000,1000,96,149,1,,190,564,0.01419718399999681
10,iterative,auto,warm,1,0.0,True,0.1,3,20,0.5,0.2,fixed,1000,1000,17,71,1,,190,510,0.019832488000002257
10,iterative,auto,warm,1,0.0,True,0.1,4,20,0.5,0.2,fixed,1000,1000,34,47,1,,190,497,0.018348903999999774
10,iterative,auto,warm,1,0.0,True,0.1,5,20,0.5,0.2,fixed,1000,1000,34,56,1,,190,475,0.005635648999998466
10,iterative,auto,warm,1,0.0,True,0.1,6,20,0.5,0.2,fixed,1000,1000,92,90,1,,190,477,0.025615679000001283
10,iterative,auto,warm,1,0.0,True,0.1,7,20,0.5,0.2,fixed,1000,1000,73,63,1,,190,487,0.03883263400000203
10,iterative,auto,warm,1,0.0,True,0.1,8,20,0.5,0.2,fixed,1000,1000,18,43,1,,190,462,0.033233642999999084
10,iterative,auto,warm,1,0.0,True,0.1,9,20,0.5,0.2,fixed,1000,1000,18,45,1,,190,435,0.03337284299999865
10,iterative,auto,warm,1,0.0,True,0.1,10,20,0.5,0.2,fixed,1000,1000,48,45,1,,190,438,0.0265597150000012
10,iterative,auto,warm,1,0.0,True,0.1,11,20,0.5,0.2,fixed,1000,1000,82,65,1,,190,455,0.03701712599999851
10,iterative,auto,warm,1,0.0,True,0.1,12,20,0.5,0.2,fixed,1000,1000,142,81,1,,190,516,0.031470693999999355
10,iterative,auto,warm,1,0.0,True,0.1,13,20,0.5,0.2,fixed,1000,1000,86,51,1,,190,551,0.03245967899999869
10,iterative,auto,warm,1,0.0,True,0.1,14,20,0.5,0.2,fixed,1000,1000,86,80,1,,190,557,0.03852167800000217
10,iterative,auto,warm,1,0.0,True,0.1,15,20,0.5,0.2,fixed,1000,1000,132,124,1,,190,565,0.037291113999998515
10,iterative,auto,warm,1,0.0,True,0.1,16,20,0.5,0.2,fixed,1000,1000,115,84,1,,190,596,0.03248901599999954
10,iterative,auto,warm,1,0.0,True,0.1,17,20,0.5,0.2,fixed,1000,1000,663,427,1,,190,832,0.04191704199999791
10,iterative,auto,warm,1,0.0,True,0.3,0,20,0.5,0.2,fixed,1000,100,100,96,1,,190,101,0.0019320989999975782
10,iterative,auto,warm,1,0.0,True,0.3,1,20,0.5,0.2,fixed,1000,1000,566,55,1,,190,612,0.018554952000002345
10,iterative,auto,warm,1,0.0,True,0.3,2,20,0.5,0.2,fixed,1000,1000,68,195,1,,190,485,0.017755004000001406
10,iterative,auto,warm,1,0.0,True,0.3,3,20,0.5,0.2,fixed,1000,1000,34,136,1,,190,383,0.011605741000000336
10,iterative,auto,warm,1,0.0,True,0.3,4,20,0.5,0.2,fixed,1000,1000,60,96,1,,190,347,0.012974933000002407
10,iterative,auto,warm,1,0.0,True,0.3,5,20,0.5,0.2,fixed,1000,1000,161,120,1,,190,388,0.015425677999999719
10,iterative,auto,warm,1,0.0,True,0.3,6,20,0.5,0.2,fixed,1000,1000,646,226,1,,190,808,0.03893201400000024
10,iterative,auto,warm,1,0.0,True,0.3,7,20,0.5,0.2,fixed,1000,1000,591,627,1,,190,772,0.03605444799999802
10,iterative,auto,warm,1,0.0,True,0.3,8,20,0.5,0.2,fixed,1000,1000,150,255,1,,190,667,0.030872542000000888
10,iterative,auto,warm,1,0.0,True,0.3,9,20,0.5,0.2,fixed,1000,1000,36,168,1,,190,535,0.030028672000000256
10,iterative,auto,warm,1,0.0,True,0.3,10,20,0.5,0.2,fixed,1000,1000,184,179,1,,190,540,0.023783091000002088
10,iterative,auto,warm,1,0.0,True,0.3,11,20,0.5,0.2,fixed,1000,1000,288,215,1,,190,613,0.024838201000001447
10,iterative,auto,warm,1,0.0,True,0.3,12,20,0.5,0.2,fixed,1000,1000,158,211,1,,190,560,0.02662770299999906
10,iterative,auto,warm,1,0.0,True,0.3,13,20,0.5,0.2,fixed,1000,1000,206,153,1,,190,613,0.028496546999999595
10,iterative,auto,warm,1,0.0,True,0.3,14,20,0.5,0.2,fixed,1000,1000,110,173,1,,190,550,0.018572545999997917
10,iterative,auto,warm,1,0.0,True,0.3,15,20,0.5,0.2,fixed,1000,1000,585,326,1,,190,809,0.042832432000000864
10,iterative,auto,warm,1,0.0,True,0.3,16,20,0.5,0.2,fixed,1000,1000,18,179,1,,190,648,0.03722984999999923
10,iterative,auto,warm,1,0.0,True,0.3,17,20,0.5,0.2,fixed,1000,1000,202,161,1,,190,689,0.0387917619999989
10,iterative,auto,warm,1,0.0,True,0.3,18,20,0.5,0.2,fixed,1000,1000,52,148,1,,190,593,0.03809380999999945
10,iterative,auto,warm,1,0.0,True,0.3,19,20,0.5,0.2,fixed,1000,1000,407,294,1,,190,706,0.043360795000001666
11,once,auto,cold,1,0.0,False,0.0,0,20,0.5,0.2,fixed,1000,4560,4560,0,1,,190,4561,0.21750285500000288
11,iterative,auto,warm,1,0.0,False,0.0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.0020698299999999392
11,iterative,auto,warm,1,0.0,False,0.0,1,20,0.5,0.2,fixed,1000,1000,556,0,1,,190,657,0.03499229100000178
11,iterative,auto,warm,1,0.0,False,0.0,2,20,0.5,0.2,fixed,1000,1000,372,0,1,,190,1029,0.0352572379999998
11,iterative,auto,warm,1,0.0,False,0.0,3,20,0.5,0.2,fixed,1000,1000,4,0,1,,190,1033,0.0025336869999996736
11,iterative,auto,warm,1,0.0,True,0.0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.001993499999997539
11,iterative,auto,warm,1,0.0,True,0.0,1,20,0.5,0.2,fixed,1000,1000,514,45,1,,190,570,0.02663863800000144
11,iterative,auto,warm,1,0.0,True,0.0,2,20,0.5,0.2,fixed,1000,1000,330,266,1,,190,634,0.03333856200000085
11,iterative,auto,warm,1,0.0,True,0.1,0,20,0.5,0.2,fixed,1000,100,100,218,1,,190,101,0.001920800000000611
11,iterative,auto,warm,1,0.0,True,0.1,1,20,0.5,0.2,fixed,1000,1000,554,54,1,,190,601,0.02072370199999796
11,iterative,auto,warm,1,0.0,True,0.1,2,20,0.5,0.2,fixed,1000,1000,148,157,1,,190,592,0.03220276399999733
11,iterative,auto,warm,1,0.0,True,0.1,3,20,0.5,0.2,fixed,1000,1000,226,404,1,,190,414,0.01378587600000003
11,iterative,auto,warm,1,0.0,True,0.1,4,20,0.5,0.2,fixed,1000,1000,315,224,1,,190,505,0.0360215910000008
11,iterative,auto,warm,1,0.0,True,0.3,0,20,0.5,0.2,fixed,1000,100,100,147,1,,190,101,0.0018119839999997114
11,iterative,auto,warm,1,0.0,True,0.3,1,20,0.5,0.2,fixed,1000,1000,556,73,1,,190,584,0.02733508499999715
11,iterative,auto,warm,1,0.0,True,0.3,2,20,0.5,0.2,fixed,1000,1000,328,295,1,,190,617,0.04310312499999824
11,iterative,auto,warm,1,0.0,True,0.3,3,20,0.5,0.2,fixed,1000,1000,14,279,1,,190,352,0.001849663000001556
12,once,auto,cold,1,0.0,False,0.0,0,20,0.5,0.2,fixed,1000,4560,4560,0,1,,190,4561,0.2040066949999968
12,iterative,auto,warm,1,0.0,False,0.0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.0018929330000005962
